日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20220925,00104001,,,,,,,,,,,,,,,,小口現金,10020,,,,スパ－クル府中,,,,,,131702.0000,対象外,0.0000,
20220925,00104001,,,,,,,,,,,,,,,,預り金,42050,,,,総務部,その他,,,,,5100.0000,対象外,0.0000,出納:健康診断オプション（高橋副店長）
20220925,00104001,,小口現金,10020,,,,スパ－クル府中,,,,,,5100.0000,対象外,0.0000,,,,,,,,,,,,,,,
20220925,00104001,,前渡金,10280,,,,パーラー営業部,仕入前払,,,,,4786.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:現金仕入
20220925,00104001,,事務消耗品費,86100,,,,スパ－クル府中,備品,,,,,4108.0000,課対仕入10%,373.0000,,,,,,,,,,,,,,,出納:備品
20220925,00104001,,旅費交通費,86110,,,,スパ－クル府中,交通機関,,,,,640.0000,課対仕入10%,58.0000,,,,,,,,,,,,,,,出納:府中⇔調布（サンプリング）
20220925,00104001,,販売促進費,86145,,,,スパ－クル府中,アメニティ用品,,,,,11439.0000,課対仕入10%,1039.0000,,,,,,,,,,,,,,,出納:マウスウォッシュ
20220925,00104001,,販売促進費,86145,,,,スパ－クル府中,個店イベント,,,,,45460.0000,課対仕入10%,4132.0000,,,,,,,,,,,,,,,出納:総付け
20220925,00104001,,販売促進費,86145,,,,スパ－クル府中,プライズ（景品代）,,,,,23064.0000,課対仕入10%,2096.0000,,,,,,,,,,,,,,,出納:ポイント景品
20220925,00104001,,非課税支払手数料,86303,,,,スパ－クル府中,各種手数料（官公庁）,,,,,30280.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請
20220925,00104001,,雑費,86310,,,,スパ－クル府中,その他,,,,,11925.0000,課対仕入10%,1082.0000,,,,,,,,,,,,,,,出納:まかない弁当
