日付,伝票番号,決算整理仕訳,借方勘定科目,借方科目コード,借方補助科目,借方取引先,借方取引先コード,借方部門,借方品目,借方メモタグ,借方セグメント1,借方セグメント2,借方セグメント3,借方金額,借方税区分,借方税額,貸方勘定科目,貸方科目コード,貸方補助科目,貸方取引先,貸方取引先コード,貸方部門,貸方品目,貸方メモタグ,貸方セグメント1,貸方セグメント2,貸方セグメント3,貸方金額,貸方税区分,貸方税額,摘要
20230925,00105001,,,,,,,,,,,,,,,,小口現金,10020,,,,スパークル亀戸,,,,,,62178.0000,対象外,0.0000,
20230925,00105001,,,,,,,,,,,,,,,,不課税雑収入,87025,,,,スパークル亀戸,拾得金,,,,,6000.0000,対象外,0.0000,出納:拾得金（戻り金）
20230925,00105001,,小口現金,10020,,,,スパークル亀戸,,,,,,6000.0000,対象外,0.0000,,,,,,,,,,,,,,,
20230925,00105001,,事務消耗品費,86100,,,,スパークル亀戸,ＯＡ用品,,,,,1870.0000,課対仕入10%,170.0000,,,,,,,,,,,,,,,出納:有線LANアダプタ
20230925,00105001,,旅費交通費,86110,,,,スパークル亀戸,交通機関,,,,,4526.0000,課対仕入10%,411.0000,,,,,,,,,,,,,,,出納:本社までの交通費
20230925,00105001,,不課税交際接待費,86123,,,,スパークル亀戸,協賛・賛助金,,,,,10000.0000,対象外,0.0000,,,,,,,,,,,,,,,出納:天祖神社祭礼奉納金
20230925,00105001,,販売促進費,86145,,,,スパークル亀戸,個店イベント,,,,,21000.0000,課対仕入10%,1909.0000,,,,,,,,,,,,,,,出納:9月度総付景品
20230925,00105001,,会議費,86290,,,,スパークル亀戸,会場代,,,,,2050.0000,課対仕入10%,186.0000,,,,,,,,,,,,,,,出納:K1プロジェクト会議
20230925,00105001,,非課税支払手数料,86303,,,,スパークル亀戸,各種手数料（官公庁）,,,,,22300.0000,非課仕入,0.0000,,,,,,,,,,,,,,,出納:入替申請手数料
20230925,00105001,,雑費,86310,,,,スパークル亀戸,その他,,,,,432.0000,課対仕入10%,39.0000,,,,,,,,,,,,,,,出納:スタッフ用塩飴
