収支区分,管理番号,発生日,決済期日,取引先コード,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,決済日,決済口座,決済金額
支出,,20161130,,,販売促進費,課対仕入10%,2911167.0000,内税,232893.0000,くるる駐車場,お客様駐車券    ,スパークル府中店,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,232893.0000,,0,,,,,,,,,
支出,,20161130,,,販売促進費,課対仕入10%,1333.0000,内税,107.0000,くるる駐車場,お客様駐車券    ,パーラー宮西,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,107.0000,,0,,,,,,,,,
支出,,20161130,,,販売促進費,課対仕入10%,446833.0000,内税,35747.0000,くるる駐車場,お客様駐車券    ,ＣＨＩＫＡＳＡＫＵ,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,35747.0000,,0,,,,,,,,,
支出,,20161130,,8405,未払費用,対象外,3628080.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,福利厚生費,課対仕入10%,320816.0000,内税,25665.0000,10/4～10/25スパークル亀戸３５歳以下定期健康診断,健康診断・産業医,総務部,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,25665.0000,,0,,,,,,,,,
支出,,20161130,,,支払手数料,課対仕入10%,200.0000,内税,16.0000,亀戸水神森クリニック,金融機関手数料  ,総務部,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,16.0000,,0,,,,,,,,,
支出,,20161130,,9000,未払費用,対象外,346697.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,2148000.0000,内税,171840.0000,施設保守管理,設備保守料      ,三番館不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,171840.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,28000.0000,内税,2240.0000,施設保守管理費,設備保守料      ,Ｐ３,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,2240.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,1283000.0000,内税,102640.0000,施設保守管理,設備保守料      ,食品館不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,102640.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,595000.0000,内税,47600.0000,施設保守管理費,設備保守料      ,フォーリス不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,47600.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,360000.0000,内税,28800.0000,設備保守管理料,設備保守料      ,くるる不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,28800.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,14000.0000,内税,1120.0000,設備保守管理,設備保守料      ,くるる不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,1120.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,56000.0000,内税,4480.0000,施設保守管,設備保守料      ,不動産その他,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,4480.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,90000.0000,内税,7200.0000,設備保守管理,設備保守料      ,不動産その他,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,7200.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,353000.0000,内税,28240.0000,施設保守管理,設備保守料      ,不動産その他,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,28240.0000,,0,,,,,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,126000.0000,内税,10080.0000,施設保守管理,設備保守料      ,不動産その他,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,10080.0000,,0,,,,,,,,,
支出,,20161130,,,未払費用,対象外,5457240.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,85000.0000,内税,6800.0000,ボイラー等点検・修理費さくら食品館　定期点検整備,設備保守料      ,食品館不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,6800.0000,,0,,,,,,,,,
支出,,20161130,,8027,未払費用,対象外,91800.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,138000.0000,内税,11040.0000,発電設備消防法点検　さくら食品館,設備保守料      ,食品館不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,11040.0000,,0,,,,,,,,,
支出,,20161130,,7469,未払費用,対象外,149040.0000,,0,,エス・ティ・エス,その他部門,,,,,
支出,,20161130,,,保守管理費,課対仕入10%,58000.0000,内税,4640.0000,排煙機保守点検　さくら三番館,設備保守料      ,三番館不動産,,,,,,
支出,,20161130,,,仮払消費税８％,対象外,4640.0000,,0,,,,,,,,,
