収支区分,管理番号,発生日,決済期日,取引先コード,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,決済日,決済口座,決済金額
収入,,20161125,,,,小口現金,対象外,74182.0000,,0.0000,,,経理担当,,,,,
収入,,20161125,,,,事務消耗品費,課対仕入10%,10000.0000,内税,740.0000,出納:,備品            ,経理担当,,,,,
支出,,20161125,,,,小口現金,対象外,10000.0000,,0.0000,,,経理担当,,,,,
支出,,20161125,,,,仮払金,対象外,18000.0000,,0.0000,出納:10月度インセンティブ,インセンティブ  ,スパークル亀戸店,,,,,
支出,,20161125,,,,買掛金,対象外,2000.0000,,0.0000,出納:テスト,,パーラー営業部,,,,,
支出,,20161125,,,,事務消耗品費,課対仕入10%,12590.0000,内税,932.0000,出納:ヒートテック×11名分　指定日用靴下×5名分,制服代          ,スパークル亀戸店,,,,,
支出,,20161125,,,,事務消耗品費,課対仕入10%,1026.0000,内税,76.0000,出納:スロット部品　代引き,スロット部品    ,スパークル亀戸店,,,,,
支出,,20161125,,,,事務消耗品費,課対仕入10%,1080.0000,内税,80.0000,出納:あ,事務用品        ,経理担当,,,,,
支出,,20161125,,,,事務消耗品費,課対仕入10%,10000.0000,内税,740.0000,出納:ｓｓｓｓ,備品            ,経理担当,,,,,
支出,,20161125,,,,旅費交通費,課対仕入10%,6000.0000,内税,444.0000,出納:11/14入替立合い　宿泊代,宿泊代          ,スパークル亀戸店,,,,,
支出,,20161125,,,,販売促進費,課対仕入10%,12190.0000,内税,902.0000,出納:手袋,アメニティ用品  ,スパークル亀戸店,,,,,
支出,,20161125,,,,支払手数料,課対仕入10%,1296.0000,内税,96.0000,出納:両替手数料,金融機関手数料  ,スパークル亀戸店,,,,,
支出,,20161125,,,,非課税支払手数料,非課仕入,10000.0000,,0.0000,出納:入替申請・部品交換,各種手数料官公庁,スパークル亀戸店,,,,,
